Competitor Component Name (1605),Competitor CVEs,Confidence,Sonatype Component Name (1466),Sonatype CVEs,Sonatype Occurence Path
ansi-regex:4.1.0,,10,ansi-regex:4.1.0,"sonatype-2021-1169, CVE-2021-3807",./yarn.lock/ansi-regex:4.1.0
ansi-regex:5.0.0,,10,ansi-regex:5.0.0,"sonatype-2021-1169, CVE-2021-3807",./yarn.lock/ansi-regex:5.0.0
ansi-styles:2.2.1,,10,ansi-styles:2.2.1,,./yarn.lock/ansi-styles:2.2.1
ansi-styles:3.2.1,,10,ansi-styles:3.2.1,,./yarn.lock/ansi-styles:3.2.1
ansi-styles:4.2.1,,10,ansi-styles:4.2.1,,./yarn.lock/ansi-styles:4.2.1
ansi-wrap:0.1.0,,10,ansi-wrap:0.1.0,,./yarn.lock/ansi-wrap:0.1.0
ansi:0.3.1,,10,ansi:0.3.1,,./yarn.lock/ansi:0.3.1
anymatch:2.0.0,,10,anymatch:2.0.0,,./yarn.lock/anymatch:2.0.0
are-we-there-yet:1.1.5,,10,are-we-there-yet:1.1.5,,./yarn.lock/are-we-there-yet:1.1.5
argparse:1.0.10,,10,argparse:1.0.10,,./yarn.lock/argparse:1.0.10
arr-diff:1.1.0,,10,arr-diff:1.1.0,,./yarn.lock/arr-diff:1.1.0
arr-diff:4.0.0,,10,arr-diff:4.0.0,,./yarn.lock/arr-diff:4.0.0
arr-flatten:1.1.0,,10,arr-flatten:1.1.0,,./yarn.lock/arr-flatten:1.1.0
arr-union:2.1.0,,10,arr-union:2.1.0,,./yarn.lock/arr-union:2.1.0
arr-union:3.1.0,,10,arr-union:3.1.0,,./yarn.lock/arr-union:3.1.0
array-differ:1.0.0,,10,array-differ:1.0.0,,./yarn.lock/array-differ:1.0.0
array-differ:3.0.0,,10,array-differ:3.0.0,,./yarn.lock/array-differ:3.0.0
array-filter:0.0.1,,10,array-filter:0.0.1,,./yarn.lock/array-filter:0.0.1
array-find-index:1.0.2,,10,array-find-index:1.0.2,,./yarn.lock/array-find-index:1.0.2
array-map:0.0.0,,10,array-map:0.0.0,,./yarn.lock/array-map:0.0.0
array-parallel:0.1.3,,10,array-parallel:0.1.3,,./yarn.lock/array-parallel:0.1.3
array-reduce:0.0.0,,10,array-reduce:0.0.0,,./yarn.lock/array-reduce:0.0.0
array-series:0.1.5,,10,array-series:0.1.5,,./yarn.lock/array-series:0.1.5
array-slice:0.2.3,,10,array-slice:0.2.3,,./yarn.lock/array-slice:0.2.3
array-union:1.0.2,,10,array-union:1.0.2,,./yarn.lock/array-union:1.0.2
array-union:2.1.0,,10,array-union:2.1.0,,./yarn.lock/array-union:2.1.0
array-uniq:1.0.2,,10,array-uniq:1.0.2,,./yarn.lock/array-uniq:1.0.2
array-uniq:1.0.3,,10,array-uniq:1.0.3,,./yarn.lock/array-uniq:1.0.3
array-unique:0.3.2,,10,array-unique:0.3.2,,./yarn.lock/array-unique:0.3.2
arrify:1.0.1,,10,arrify:1.0.1,,./yarn.lock/arrify:1.0.1
arrify:2.0.1,,10,arrify:2.0.1,,./yarn.lock/arrify:2.0.1
asap:2.0.6,,10,asap:2.0.6,,./yarn.lock/asap:2.0.6
asn1:0.2.4,,10,asn1:0.2.4,,./yarn.lock/asn1:0.2.4
assert-plus:1.0.0,,10,assert-plus:1.0.0,,./yarn.lock/assert-plus:1.0.0
assign-symbols:1.0.0,,10,assign-symbols:1.0.0,,./yarn.lock/assign-symbols:1.0.0
