Competitor Component Name (4),Competitor CVEs,Confidence,Sonatype Component Name (552),Sonatype CVEs,Sonatype Occurence Path
,,,MarkupSafe:(cp38-cp38-manylinux1_x86_64):1.1.1:(.whl),,Tusimple-bom.xml/pkg:pypi\markupsafe@1.1.1?extension=whl&qualifier=cp38-cp38-manylinux1_x86_64:b77d20fc2c478fe9964b
,,,MarkupSafe:(cp38-cp38-manylinux2010_i686):1.1.1:(.whl),,Tusimple-bom.xml/pkg:pypi\markupsafe@1.1.1?extension=whl&qualifier=cp38-cp38-manylinux2010_i686:9e7d21d8d87d2934d75e
,,,MarkupSafe:(cp38-cp38-manylinux2010_x86_64):1.1.1:(.whl),,Tusimple-bom.xml/pkg:pypi\markupsafe@1.1.1?extension=whl&qualifier=cp38-cp38-manylinux2010_x86_64:e17cfe1c8a338685eba5
,,,MarkupSafe:(cp38-cp38-manylinux2014_aarch64):1.1.1:(.whl),,Tusimple-bom.xml/pkg:pypi\markupsafe@1.1.1?extension=whl&qualifier=cp38-cp38-manylinux2014_aarch64:55cc22c731386ca572e3
,,,MarkupSafe:(cp38-cp38-win32):1.1.1:(.whl),,Tusimple-bom.xml/pkg:pypi\markupsafe@1.1.1?extension=whl&qualifier=cp38-cp38-win32:6f90b7442720ef2aad96
,,,MarkupSafe:(cp38-cp38-win_amd64):1.1.1:(.whl),,Tusimple-bom.xml/pkg:pypi\markupsafe@1.1.1?extension=whl&qualifier=cp38-cp38-win_amd64:d4a38f85285b29773eb8
,,,MarkupSafe:(cp39-cp39-macosx_10_9_x86_64):1.1.1:(.whl),,Tusimple-bom.xml/pkg:pypi\markupsafe@1.1.1?extension=whl&qualifier=cp39-cp39-macosx_10_9_x86_64:4afff6362e75a5a050b8
,,,MarkupSafe:(cp39-cp39-manylinux1_i686):1.1.1:(.whl),,Tusimple-bom.xml/pkg:pypi\markupsafe@1.1.1?extension=whl&qualifier=cp39-cp39-manylinux1_i686:aeee96d749f273d60a51
,,,MarkupSafe:(cp39-cp39-manylinux1_x86_64):1.1.1:(.whl),,Tusimple-bom.xml/pkg:pypi\markupsafe@1.1.1?extension=whl&qualifier=cp39-cp39-manylinux1_x86_64:94c7ea831b5a3233f709
,,,MarkupSafe:(cp39-cp39-manylinux2010_i686):1.1.1:(.whl),,Tusimple-bom.xml/pkg:pypi\markupsafe@1.1.1?extension=whl&qualifier=cp39-cp39-manylinux2010_i686:026714e214a21a24a331
,,,MarkupSafe:(cp39-cp39-manylinux2010_x86_64):1.1.1:(.whl),,Tusimple-bom.xml/pkg:pypi\markupsafe@1.1.1?extension=whl&qualifier=cp39-cp39-manylinux2010_x86_64:e7ac35d3dc0f243fcff0
,,,MarkupSafe:(cp39-cp39-manylinux2014_aarch64):1.1.1:(.whl),,Tusimple-bom.xml/pkg:pypi\markupsafe@1.1.1?extension=whl&qualifier=cp39-cp39-manylinux2014_aarch64:0f840fb3231e6407aa3c
